,AAPL,MSFT,GOOGL,TSLA,AMZN,PLTR,SOFI,IONQ,QQQM,NVDA,BBD,GLDM,PFE,RKLB
AAPL,1.0,0.49984369309637305,0.48989358978782527,0.5292231904248295,0.5679657974428495,0.357161174028435,0.4616464668250802,0.23994992363148182,0.7205905387601099,0.42840590382433114,0.27109955414694237,0.01826462343438061,0.29151903828519826,0.23128732783626785
MSFT,0.49984369309637305,1.0,0.4449233732187064,0.5002386158349915,0.6065848729889016,0.4640631942231879,0.5391181903922037,0.3337300112437871,0.7502714914455939,0.6316114149741405,0.25031082711438074,-0.03923796411792005,0.04779548008129504,0.39236915154835617
GOOGL,0.48989358978782527,0.4449233732187064,1.0,0.5545215011464628,0.5453991118394298,0.3958346077975252,0.4629531058599469,0.3445669559536737,0.6619055062333173,0.4622445894557269,0.2697077459677958,0.08761481730715681,0.06811351418161449,0.3004297391371964
TSLA,0.5292231904248295,0.5002386158349915,0.5545215011464628,1.0,0.5502177159097251,0.5217366918419012,0.5692251707707263,0.4788104099002561,0.7276718823395083,0.507294250162862,0.2568647652997958,0.01606003253939038,0.15766196619607165,0.4461809641106677
AMZN,0.5679657974428495,0.6065848729889016,0.5453991118394298,0.5502177159097251,1.0,0.5006429588145606,0.6087390043985955,0.3771229039547796,0.7785945597190259,0.5633804743568198,0.21248482397953175,-0.13001862285024435,0.11795137886602239,0.4151613517525062
PLTR,0.357161174028435,0.4640631942231879,0.3958346077975252,0.5217366918419012,0.5006429588145606,1.0,0.5564414998720147,0.43764471475522576,0.6611472739186639,0.5672825161863037,0.2717400180922872,0.030467517314332233,0.09206635557328263,0.516339001757656
SOFI,0.4616464668250802,0.5391181903922037,0.4629531058599469,0.5692251707707263,0.6087390043985955,0.5564414998720147,1.0,0.49327473375380787,0.7564728371322088,0.5980089231518255,0.26915561068572813,0.046124652703067495,0.127846709194417,0.6031590546385226
IONQ,0.23994992363148182,0.3337300112437871,0.3445669559536737,0.4788104099002561,0.3771229039547796,0.43764471475522576,0.49327473375380787,1.0,0.47953415469945687,0.3464980429061826,0.20735733158095482,-0.0025319260890516214,0.11869050688107888,0.5742381244315643
QQQM,0.7205905387601099,0.7502714914455939,0.6619055062333173,0.7276718823395083,0.7785945597190259,0.6611472739186639,0.7564728371322088,0.47953415469945687,1.0,0.7914892045890608,0.33665554978503326,0.03633640555364947,0.22931753040849423,0.5443838058540875
NVDA,0.42840590382433114,0.6316114149741405,0.4622445894557269,0.507294250162862,0.5633804743568198,0.5672825161863037,0.5980089231518255,0.3464980429061826,0.7914892045890608,1.0,0.15758097889510791,0.0029117433514959544,0.038094799147982264,0.45159980591183385
BBD,0.27109955414694237,0.25031082711438074,0.2697077459677958,0.2568647652997958,0.21248482397953175,0.2717400180922872,0.26915561068572813,0.20735733158095482,0.33665554978503326,0.15758097889510791,1.0,0.10365195791179806,0.1278346810099202,0.17438245085483192
GLDM,0.01826462343438061,-0.03923796411792005,0.08761481730715681,0.01606003253939038,-0.13001862285024435,0.030467517314332233,0.046124652703067495,-0.0025319260890516214,0.03633640555364947,0.0029117433514959544,0.10365195791179806,1.0,0.023367093074967975,0.040118564034221926
PFE,0.29151903828519826,0.04779548008129504,0.06811351418161449,0.15766196619607165,0.11795137886602239,0.09206635557328263,0.127846709194417,0.11869050688107888,0.22931753040849423,0.038094799147982264,0.1278346810099202,0.023367093074967975,1.0,0.10622970847953075
RKLB,0.23128732783626785,0.39236915154835617,0.3004297391371964,0.4461809641106677,0.4151613517525062,0.516339001757656,0.6031590546385226,0.5742381244315643,0.5443838058540875,0.45159980591183385,0.17438245085483192,0.040118564034221926,0.10622970847953075,1.0
