ticker,shares,price,value,value_jp,ratio,PER,sigma,sharpe,usd_jpy_rate
PLTR,10,177.9199981689453,1779.1999816894531,275726.1797795654,28.84,413.76743,68.09882967228572,1.6250561001670039,154.9720001220703
TSLA,3,454.5299987792969,1363.5899963378906,211318.26907892944,22.1,313.46896,65.43839409889628,0.5832052859756951,154.9720001220703
IONQ,11,54.7599983215332,602.3599815368652,93348.93113226135,9.76,,119.55493389501723,0.9142856813382365,154.9720001220703
SOFI,20,29.600000381469727,592.0000076293945,91743.42525460816,9.6,52.857143,64.53660480879645,1.261056338456055,154.9720001220703
AMZN,2,229.11000061035156,458.2200012207031,71011.27008510986,7.43,32.36017,34.96145478733389,0.16889212137013274,154.9720001220703
GOOGL,1,317.6199951171875,317.6199951171875,49222.20592207275,5.15,31.354393,33.37982991225701,1.9093403200554753,154.9720001220703
AAPL,1,280.70001220703125,280.70001220703125,43500.642326013185,4.55,37.576977,32.77147484687071,0.4980892584623239,154.9720001220703
QQQM,1,256.4599914550781,256.4599914550781,39744.11782708252,4.16,35.12476,23.701044098925586,0.7297721537183934,154.9720001220703
BBD,56,3.630000114440918,203.2800064086914,31502.70917798218,3.29,10.083333,37.700942242701295,1.711576232408481,154.9720001220703
NVDA,1,183.3800048828125,183.3800048828125,28418.766139084473,2.97,45.50372,49.837612572079394,0.645833736668542,154.9720001220703
GLDM,1,83.33000183105469,83.33000183105469,12913.817053934326,1.35,,19.404844196450522,2.3393845507950437,154.9720001220703
RKLB,1,49.369998931884766,49.369998931884766,7650.967480498657,0.8,,87.31901494664534,1.2203115170487815,154.9720001220703
MSFT,0,480.8399963378906,0.0,0.0,0.0,34.247864,24.479957638059307,0.3298953502259419,154.9720001220703
