ticker,name,sector,shares,currency,price,value,value_jp,ratio,PER,sigma,sharpe,usd_jpy_rate
PLTR,Palantir Technologies Inc.,Technology,10,USD,177.9199981689453,1779.1999816894531,276046,27.0,413.76743,68.09882967228572,1.6250561001670039,155.15199279785156
TSLA,"Tesla, Inc.",Consumer Cyclical,3,USD,454.5299987792969,1363.5899963378906,211563,20.69,313.46896,65.43839409889628,0.5832052859756951,155.15199279785156
GOOGL,Alphabet Inc.,Communication Services,2,USD,317.6199951171875,635.239990234375,98558,9.64,31.354393,33.379844804387055,1.9093393508336387,155.15199279785156
IONQ,"IonQ, Inc.",Technology,11,USD,54.7599983215332,602.3599815368652,93457,9.14,,119.55493389501723,0.9142856813382365,155.15199279785156
SOFI,"SoFi Technologies, Inc.",Financial Services,20,USD,29.600000381469727,592.0000076293945,91849,8.98,52.857143,64.53660480879645,1.261056338456055,155.15199279785156
AMZN,"Amazon.com, Inc.",Consumer Cyclical,2,USD,229.11000061035156,458.2200012207031,71093,6.95,32.36017,34.96145478733389,0.16889212137013274,155.15199279785156
AAPL,Apple Inc.,Technology,1,USD,280.70001220703125,280.70001220703125,43551,4.26,37.576977,32.77147462973348,0.4980892587680835,155.15199279785156
QQQM,Invesco NASDAQ 100 ETF,Unknown,1,USD,256.4599914550781,256.4599914550781,39790,3.89,35.12476,23.70104275141423,0.7297721824058404,155.15199279785156
BBD,Banco Bradesco S.A.,Financial Services,56,USD,3.630000114440918,203.2800064086914,31539,3.08,10.083333,37.700958008951204,1.7115758385870772,155.15199279785156
NVDA,NVIDIA Corporation,Technology,1,USD,183.3800048828125,183.3800048828125,28451,2.78,45.50372,49.83760508742398,0.6458337587419837,155.15199279785156
PFE,Pfizer Inc.,Healthcare,4,USD,25.700000762939453,102.80000305175781,15949,1.56,14.94186,26.383186108475982,0.2472219378275863,155.15199279785156
GLDM,SPDR Gold MiniShares,Unknown,1,USD,83.33000183105469,83.33000183105469,12928,1.26,,19.404844196450522,2.3393845507950437,155.15199279785156
RKLB,Rocket Lab Corporation,Industrials,1,USD,49.369998931884766,49.369998931884766,7659,0.75,,87.31901494664534,1.2203115170487815,155.15199279785156
MSFT,Microsoft Corporation,Technology,0,USD,480.8399963378906,0.0,0,0.0,34.247864,24.479956279667316,0.3298950714057719,155.15199279785156
