ticker,name,shares,currency,price,value,value_jp,ratio,PER,sigma,sharpe,dividend_yield,sector,industry,country,usd_jpy_rate
PLTR,Palantir Technologies Inc.,10,USD,180.39999389648438,1803.9999389648438,279917,27.43,419.53485,67.96848403708135,1.642096275137338,,Technology,Software - Infrastructure,United States,155.1649932861328
TSLA,"Tesla, Inc.",3,USD,455.44049072265625,1366.3214721679688,212005,20.78,314.1,65.30686790839601,0.5848891557245851,,Consumer Cyclical,Auto Manufacturers,United States,155.1649932861328
GOOGL,Alphabet Inc.,2,USD,321.4093017578125,642.818603515625,99742,9.78,31.729023,33.32566121638214,1.9403995717523823,26.0,Communication Services,Internet Content & Information,United States,155.1649932861328
IONQ,"IonQ, Inc.",11,USD,52.810001373291016,580.9100151062012,90136,8.83,,119.38254827853211,0.881742435464279,,Technology,Computer Hardware,United States,155.1649932861328
SOFI,"SoFi Technologies, Inc.",20,USD,27.885000228881836,557.7000045776367,86535,8.48,49.794643,64.7005256297816,1.1623164716469772,,Financial Services,Credit Services,United States,155.1649932861328
AMZN,"Amazon.com, Inc.",2,USD,230.9600067138672,461.9200134277344,71673,7.02,32.62147,34.89970313598103,0.19137785320430686,,Consumer Cyclical,Internet Retail,United States,155.1649932861328
AAPL,Apple Inc.,1,USD,280.44500732421875,280.44500732421875,43515,4.26,37.54083,32.70605630285352,0.4938003139647168,37.0,Technology,Consumer Electronics,United States,155.1649932861328
QQQM,Invesco NASDAQ 100 ETF,1,USD,258.5799865722656,258.5799865722656,40122,3.93,35.415115,23.665132187481948,0.7624899932379091,50.0,,,,155.1649932861328
BBD,Banco Bradesco S.A.,56,USD,3.6449999809265137,204.11999893188477,31672,3.1,10.125,37.62543754904833,1.7187963512957165,497.0,Financial Services,Banks - Regional,Brazil,155.1649932861328
NVDA,NVIDIA Corporation,1,USD,182.77999877929688,182.77999877929688,28361,2.78,45.35734,49.73967899908908,0.6375644756708844,2.0,Technology,Semiconductors,United States,155.1649932861328
PFE,Pfizer Inc.,4,USD,25.664199829101562,102.65679931640625,15928,1.56,14.921046,26.330777512994107,0.24078322708671196,669.0,Healthcare,Drug Manufacturers - General,United States,155.1649932861328
GLDM,SPDR Gold MiniShares,1,USD,84.0999984741211,84.0999984741211,13049,1.28,,19.379628217003145,2.3802952157971715,0.0,,,,155.1649932861328
RKLB,Rocket Lab Corporation,1,USD,49.2400016784668,49.2400016784668,7640,0.75,,87.14634950640946,1.214609170127426,,Industrials,Aerospace & Defense,United States,155.1649932861328
MSFT,Microsoft Corporation,0,USD,483.1499938964844,0.0,0,0.0,34.41239,24.434608705972668,0.348348762590284,76.0,Technology,Software - Infrastructure,United States,155.1649932861328
